id,text,processed,clean_text,emojis,hashtags,source,timestamp,engagement
TI-afd555f3c7,Panagbenga #jeuxtotmo #festival #bulaklak,jeuxtotmo festival bulaklak,panagbenga jeuxtotmo festival bulaklak,[],"['HASHTAG_jeuxtotmo', 'HASHTAG_festival', 'HASHTAG_bulaklak']",https://www.tiktok.com/@jeuxtotmo/video/7634797360828271892,2026-05-01T05:53:13+00:00,10000
TI-e54c3563f5,Koreans attended the Panagbenga Festival 2024 #panagbenga #panagbengafestival #touristattraction #baguio #baguiocity #mustvisit #kimbulan #parade #travel2024,koreans festival touristattraction baguio_baguiocity mustvisit kimbul travel baguio baguiocity parade travel2024,koreans attended the panagbenga festival panagbenga panagbengafestival touristattraction baguio baguiocity mustvisit kimbulan parade travel,[],"['HASHTAG_touristattraction', 'HASHTAG_baguio', 'HASHTAG_baguiocity', 'HASHTAG_mustvisit', 'HASHTAG_kimbulan', 'HASHTAG_parade', 'HASHTAG_travel2024']",https://www.tiktok.com/@kim_bulan4/video/7340163882230566150,2024-02-27T06:24:45+00:00,56300
TI-562962d67d,"Nothing beats the energy of Panagbenga Opening Parade 🌸

The city comes alive with vibrant costumes, powerful performances, and the sound of cheers echoing through Session Road. This isn’t just a parade—it’s Baguio sharing its heart, history, and artistry with everyone. 

#Panagbenga #BaguioCity #Panagbenga2026",nothi beats energy rade city alive vibrant costumes powerful performances sound cheers session_road baguio shari heart history artistry everyone baguiocity panagbenga2026 🌸,nothing beats the energy of panagbenga opening parade the city comes alive with vibrant costumes powerful performances and the sound of cheers echoing through session road this isn t just a parade it s baguio sharing its heart history and artistry with everyone panagbenga baguiocity panagbenga,['🌸'],"['HASHTAG_baguiocity', 'HASHTAG_panagbenga2026']",https://www.tiktok.com/@metropinesinn/video/7601709837650513173,2026-02-01T01:56:44+00:00,15800
TI-a63250e369,"PANAGBENGA FESTIVAL 1ST PLACE🏆
2 days practice gusto lagi rush🧐🤣 

#panagbenga2024 #festival #1stplace 
#bped #bcp",festival place days practice rush bcp 1stplace bped 🏆 🧐 🤣,panagbenga festival st place days practice gusto lagi rush panagbenga festival stplace bped bcp,"['🏆', '🧐', '🤣']","['HASHTAG_festival', 'HASHTAG_1stplace', 'HASHTAG_bped', 'HASHTAG_bcp']",https://www.tiktok.com/@its.kthln31/video/7350962227656068357,2024-03-27T08:47:51+00:00,862
TI-7fdc02c288,Panagbenga 2026 #panagbenga2026 #fypシ゚viral #highlights #baguiocity,highlights baguiocity panagbenga2026,panagbenga panagbenga fypシ viral highlights baguiocity,[],"['HASHTAG_panagbenga2026', 'HASHTAG_fypシ', 'HASHTAG_highlights', 'HASHTAG_baguiocity']",https://www.tiktok.com/@brey_0826/video/7611779785085177106,2026-02-28T05:13:11+00:00,1806
TI-e3ecac1905,"FULL PERFORMANCE of Baryo Kamaisan from Lawig, Ifugao during the Grand Street Dance parade of #Panagbenga2026 
 
#baguio  
#panagbenga",full performance baryo kamais lawig ifugao grand_street dance_baguio panagbenga2026 baguio,full performance of baryo kamaisan from lawig ifugao during the grand street dance parade of panagbenga baguio panagbenga,[],"['HASHTAG_panagbenga2026', 'HASHTAG_baguio']",https://www.tiktok.com/@kwentoninicko/video/7612938375598705940,2026-03-03T08:09:09+00:00,1157
TI-d42c8b9566,"SELFIE MUNA AT CELLPHONE SILA IVAN, LEANARD, DENVER & FRIENDS!🥰 DURING GRAND FLOAT PARADE | PANAGBENGA FESTIVAL 2026!🔥💪🌲

#PageantManila #panagbenga2026 #SaBaguio   #trendingvideo #foryoupageシ",selfie muna cellphone ivan leanard denver friends grand_float rade festival sabaguio trendingvideo pageantmanila panagbenga2026 🥰 🔥 💪 🌲,selfie muna at cellphone sila ivan leanard denver friends during grand float parade panagbenga festival pageantmanila panagbenga sabaguio trendingvideo foryoupageシ,"['🥰', '🔥', '💪', '🌲']","['HASHTAG_pageantmanila', 'HASHTAG_panagbenga2026', 'HASHTAG_sabaguio', 'HASHTAG_trendingvideo', 'HASHTAG_foryoupageシ']",https://www.tiktok.com/@pageantmanila/video/7612639919722237204,2026-03-02T12:50:59+00:00,1333
TI-dd4cdbbbd8,Talented Igorot cultural performer proudly showcases Kalinga culture at the Panagbenga Festival 2026 Opening Parade #Panagbenga2026 #followers➕ #baguiocountryfair2026,igorot cultural performer kalinga culture festival openi rade followers panagbenga2026 ➕,talented igorot cultural performer proudly showcases kalinga culture at the panagbenga festival opening parade panagbenga followers baguiocountryfair,['➕'],"['HASHTAG_panagbenga2026', 'HASHTAG_followers', 'HASHTAG_baguiocountryfair2026']",https://www.tiktok.com/@sgbunzo/video/7606690529711082759,2026-02-14T12:04:16+00:00,1060
TI-cabb437f4c,"Let’s goooooo 9-Diamond
#festival #festivaldance #panagbenga #fypシ",gooo diamond festival festivaldance,let s gooo diamond festival festivaldance panagbenga fypシ,[],"['HASHTAG_festival', 'HASHTAG_festivaldance', 'HASHTAG_fypシ']",https://www.tiktok.com/@9diamownd/video/7599953539745500417,2026-01-27T08:22:16+00:00,5726
TI-c67e4788b2,Baguio Fits + Places we visited👣 #baguio #panagbenga #travel #fyp,baguio fits places travel fyp 👣,baguio fits places we visited baguio panagbenga travel fyp,['👣'],"['HASHTAG_baguio', 'HASHTAG_travel', 'HASHTAG_fyp']",https://www.tiktok.com/@pamedly_/video/7614761431652666632,2026-03-08T06:03:33+00:00,31100
